2025-09-11 19:11:20,585 - INFO - ✅ Arduino ready and optimized
2025-09-11 19:11:20,585 - INFO - 🚀 Optimized Robot Controller Initialized
2025-09-11 19:11:20,585 - INFO - 📐 Differential Drive Specifications:
2025-09-11 19:11:20,585 - INFO -    Wheel diameter: 5.0 cm
2025-09-11 19:11:20,585 - INFO -    Wheel base: 15.0 cm
2025-09-11 19:11:20,585 - INFO -    Left motor: 4993 ticks/rev
2025-09-11 19:11:20,585 - INFO -    Right motor: 4966 ticks/rev
2025-09-11 19:11:20,586 - INFO -    Left resolution: 0.031 mm/tick
2025-09-11 19:11:20,586 - INFO -    Right resolution: 0.032 mm/tick
2025-09-11 19:11:20,586 - INFO -    360° turn needs: L=14979 ticks, R=14898 ticks
2025-09-11 19:11:20,586 - INFO - 🔄 High-performance threads started
2025-09-11 19:11:24,009 - INFO - 🔄 Movement: L=-13 ticks (0.4mm), R=-12 ticks (0.4mm), Center=0.4mm, Turn=0.0°
2025-09-11 19:11:24,029 - INFO - 🔄 Movement: L=-16 ticks (0.5mm), R=-17 ticks (0.5mm), Center=0.5mm, Turn=-0.0°
2025-09-11 19:11:24,051 - INFO - 🔄 Movement: L=-20 ticks (0.6mm), R=-20 ticks (0.6mm), Center=0.6mm, Turn=-0.0°
2025-09-11 19:11:24,071 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-18 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:24,092 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:24,107 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-22 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,113 - INFO - 🔄 Movement: L=-11 ticks (0.3mm), R=-9 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:24,128 - INFO - 🔄 Movement: L=-28 ticks (0.9mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,138 - INFO - 🔄 Movement: L=-12 ticks (0.4mm), R=-10 ticks (0.3mm), Center=0.3mm, Turn=0.0°
2025-09-11 19:11:24,162 - INFO - 🔄 Movement: L=-42 ticks (1.3mm), R=-39 ticks (1.2mm), Center=1.3mm, Turn=0.0°
2025-09-11 19:11:24,168 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-28 ticks (0.9mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:24,179 - INFO - 🔄 Movement: L=-14 ticks (0.4mm), R=-14 ticks (0.4mm), Center=0.4mm, Turn=-0.0°
2025-09-11 19:11:24,192 - INFO - 🔄 Movement: L=-28 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:24,197 - INFO - 🔄 Movement: L=-17 ticks (0.5mm), R=-16 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:24,212 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:24,218 - INFO - 🔄 Movement: L=-18 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.5mm, Turn=0.0°
2025-09-11 19:11:24,228 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,239 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,249 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,260 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-20 ticks (0.6mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,270 - INFO - 🔄 Movement: L=-29 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:24,280 - INFO - 🔄 Movement: L=-22 ticks (0.7mm), R=-21 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,290 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-24 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,301 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,311 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,321 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,331 - INFO - 🔄 Movement: L=-26 ticks (0.8mm), R=-21 ticks (0.7mm), Center=0.7mm, Turn=0.1°
2025-09-11 19:11:24,341 - INFO - 🔄 Movement: L=-27 ticks (0.8mm), R=-25 ticks (0.8mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,354 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-22 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,366 - INFO - 🔄 Movement: L=-26 ticks (0.8mm), R=-23 ticks (0.7mm), Center=0.8mm, Turn=0.0°
2025-09-11 19:11:24,373 - INFO - 🔄 Movement: L=-25 ticks (0.8mm), R=-21 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,389 - INFO - 🔄 Movement: L=-30 ticks (0.9mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.0°
2025-09-11 19:11:24,395 - INFO - 🔄 Movement: L=-24 ticks (0.8mm), R=-21 ticks (0.7mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,405 - INFO - 🔄 Movement: L=-31 ticks (1.0mm), R=-26 ticks (0.8mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:24,411 - INFO - 🔄 Movement: L=-21 ticks (0.7mm), R=-18 ticks (0.6mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:24,426 - INFO - 🔄 Movement: L=-32 ticks (1.0mm), R=-27 ticks (0.9mm), Center=0.9mm, Turn=0.1°
2025-09-11 19:11:24,431 - INFO - 🔄 Movement: L=-23 ticks (0.7mm), R=-19 ticks (0.6mm), Center=0.7mm, Turn=0.0°
2025-09-11 19:11:24,447 - INFO - 🔄 Movement: L=-33 ticks (1.0mm), R=-28 ticks (0.9mm), Center=1.0mm, Turn=0.1°
2025-09-11 19:11:24,452 - INFO - 🔄 Movement: L=-19 ticks (0.6mm), R=-16 ticks (0.5mm), Center=0.6mm, Turn=0.0°
2025-09-11 19:11:24,468 - INFO - 🔄 Movement: L=-35 ticks (1.1mm), R=-29 ticks (0.9mm), Center=1.0mm, Turn=0.1°
